module_name,loc,ncloc,cloc,complexity,cyclomatic_complexity,depth_of_nesting,coupling,cohesion,information_flow_complexity,code_churn,change_request_backlog,pending_effort_hours,percent_reused,defect_count,defect_label
high_module_001,1436,1187,249,120.724,110.108,22.253,25.282,0.413,84.401,1015.762,69.088,310.615,0.362,1,1
high_module_002,3206,2933,273,81.25,121.25,8.276,49.013,0.398,94.951,1037.495,63.532,70.01,0.358,1,0
high_module_003,3612,3134,478,91.859,131.548,13.372,51.871,0.323,69.664,758.012,47.71,161.566,0.262,4,1
high_module_004,2513,2156,357,91.328,66.194,10.36,42.085,0.375,57.487,915.053,45.376,236.737,0.372,0,0
high_module_005,3624,3114,510,60.403,80.315,20.96,54.228,0.438,108.524,374.233,76.225,250.362,0.15,0,0
high_module_006,3544,3176,368,131.707,123.721,18.736,49.239,0.37,144.374,764.069,58.706,173.59,0.091,5,1
high_module_007,4113,3531,582,128.385,76.056,11.596,42.837,0.397,86.769,796.385,79.586,302.186,0.016,5,1
high_module_008,3379,3096,283,109.568,88.736,11.684,60.13,0.293,133.166,537.993,84.336,223.797,0.284,5,1
high_module_009,2719,2188,531,126.524,48.766,26.457,33.127,0.174,76.489,1081.69,56.237,383.792,0.185,3,1
high_module_010,2729,2303,426,132.849,107.1,22.952,47.467,0.306,48.144,811.836,92.168,425.686,0.046,2,1
high_module_011,3169,2885,284,49.87,100.858,13.056,34.52,0.175,118.032,546.023,24.028,260.574,0.083,1,0
high_module_012,2044,1769,275,64.843,101.813,10.975,60.764,0.43,125.425,909.823,36.862,309.807,0.186,2,1
high_module_013,2362,1854,508,110.063,99.618,21.504,49.965,0.5,47.141,442.884,57.282,125.65,0.195,0,0
high_module_014,2828,2278,550,41.785,49.269,19.933,29.273,0.271,111.584,1195.131,66.264,79.921,0.216,0,0
high_module_015,1487,1359,128,88.764,65.399,26.711,50.268,0.351,67.234,579.641,57.417,138.195,0.332,0,0
high_module_016,2301,1801,500,128.582,119.916,9.205,20.91,0.194,60.105,713.314,49.316,142.945,0.292,5,1
high_module_017,1885,1695,190,115.46,45.17,15.932,35.087,0.486,88.794,1329.498,22.417,368.203,0.203,1,1
high_module_018,1499,1288,211,97.356,127.734,23.293,52.278,0.192,72.783,1100.435,46.109,302.497,0.38,0,0
high_module_019,3188,2850,338,90.75,83.556,20.926,63.219,0.139,95.811,1218.378,50.968,372.233,0.327,5,1
high_module_020,2947,2527,420,73.636,129.81,27.968,33.494,0.179,137.74,531.181,18.193,235.519,0.083,1,0
high_module_021,1622,1323,299,103.418,97.349,23.903,21.611,0.252,103.611,963.933,63.678,283.698,0.258,3,1
high_module_022,1778,1473,305,119.383,65.669,25.98,27.569,0.185,104.522,576.567,72.196,408.347,0.171,5,1
high_module_023,3590,2955,635,92.425,128.712,27.703,39.997,0.193,121.102,1243.271,76.577,448.357,0.059,1,1
high_module_024,2359,2100,259,92.3,115.824,10.135,51.433,0.167,43.854,790.925,37.208,161.288,0.313,3,1
