module_name,loc,ncloc,cloc,complexity,cyclomatic_complexity,depth_of_nesting,coupling,cohesion,information_flow_complexity,code_churn,change_request_backlog,pending_effort_hours,percent_reused,defect_count,defect_label
medium_module_001,555,507,48,28.564,26.006,11.142,10.885,0.727,8.046,184.272,14.246,51.703,0.553,1,0
medium_module_002,1279,1001,278,29.438,44.832,11.98,21.187,0.681,7.372,213.873,6.474,17.467,0.304,1,0
medium_module_003,1608,1261,347,30.526,9.28,10.793,17.291,0.77,8.136,73.816,7.97,37.025,0.615,0,0
medium_module_004,389,349,40,14.997,17.951,6.731,9.95,0.66,7.879,47.913,7.852,71.092,0.397,0,0
medium_module_005,1493,1187,306,25.716,51.17,10.391,24.09,0.688,5.39,145.344,5.255,106.458,0.396,0,1
medium_module_006,731,587,144,19.544,14.081,3.776,22.468,0.535,30.762,246.171,22.457,47.389,0.215,2,1
medium_module_007,1090,869,221,14.137,44.83,2.698,11.584,0.633,44.329,261.151,12.477,74.799,0.325,1,1
medium_module_008,403,363,40,33.641,29.451,10.187,13.228,0.548,43.418,157.597,21.694,78.414,0.222,1,1
medium_module_009,588,517,71,39.887,24.837,10.512,6.536,0.814,10.495,241.551,19.084,49.023,0.544,0,0
medium_module_010,1144,956,188,34.223,12.106,6.328,14.649,0.785,54.479,236.023,5.771,10.172,0.691,1,0
medium_module_011,295,248,47,36.149,24.661,10.471,18.149,0.543,14.957,126.366,9.442,62.321,0.371,0,0
medium_module_012,260,210,50,24.408,18.724,8.71,6.87,0.73,43.257,172.213,19.483,11.012,0.547,1,0
medium_module_013,1383,1247,136,10.183,40.402,9.727,8.097,0.747,17.112,92.976,14.842,39.66,0.36,0,0
medium_module_014,815,710,105,12.278,30.58,6.558,21.966,0.731,50.835,206.371,1.221,42.526,0.396,0,0
medium_module_015,1773,1492,281,16.465,38.92,2.328,15.839,0.768,38.637,187.421,7.88,37.616,0.374,1,0
medium_module_016,906,717,189,20.929,39.673,8.694,6.852,0.581,36.411,138.549,15.979,27.644,0.464,1,0
medium_module_017,1616,1364,252,43.693,38.792,2.174,7.256,0.463,51.91,283.593,16.591,93.643,0.431,1,1
medium_module_018,365,304,61,18.142,24.166,3.881,7.629,0.425,21.376,113.442,22.731,80.639,0.628,0,1
medium_module_019,1673,1336,337,29.204,31.644,7.729,15.99,0.685,17.842,173.316,11.227,89.798,0.295,0,1
medium_module_020,1339,1058,281,29.366,40.359,6.614,20.553,0.5,6.04,196.574,10.49,76.078,0.285,1,1
medium_module_021,966,759,207,38.662,42.714,10.073,18.28,0.632,29.75,79.386,7.877,57.545,0.531,1,0
medium_module_022,374,308,66,40.204,8.117,10.023,14.061,0.57,30.69,95.692,12.839,61.177,0.288,0,0
medium_module_023,436,393,43,24.584,27.652,3.537,17.363,0.429,38.378,185.197,10.483,58.079,0.554,0,1
