module_name,loc,ncloc,cloc,complexity,cyclomatic_complexity,depth_of_nesting,coupling,cohesion,information_flow_complexity,code_churn,change_request_backlog,pending_effort_hours,percent_reused,defect_count,defect_label
services.billing.module_23,168,143,25,10.444,10.361,9.698,14.978,0.822,8.809,373.78,22.039,19.35,0.584,2,1
core.payment.module_08,253,209,44,27.845,32.389,7.575,13.4,0.73,21.314,366.17,19.961,9.759,0.325,1,1
services.billing.module_27,428,380,48,38.778,39.502,3.791,5.907,0.436,13.944,347.703,22.039,37.883,0.332,2,1
core.auth.module_05,491,418,73,26.773,29.625,4.574,7.889,0.582,32.935,345.683,14.816,18.666,0.396,2,1
core.payment.module_07,251,218,33,26.539,30.637,12.197,6.962,0.575,26.304,327.579,10.471,13.534,0.338,2,1
core.db.module_32,281,255,26,16.942,18.327,16.264,17.862,0.404,31.52,325.054,8.321,30.619,0.296,1,1
services.billing.module_32,206,169,37,21.793,22.885,6.061,5.353,0.567,3.869,318.766,22.788,9.751,0.122,1,1
workers.notifications.module_01,133,111,22,7.412,7.914,8.882,5.547,0.688,14.314,317.535,21.022,58.095,0.099,1,1
reports.export.module_14,159,126,33,29.041,30.929,6.795,7.949,0.865,13.7,315.783,8.232,22.422,0.337,1,1
core.auth.module_39,218,179,39,42.13,42.931,11.34,8.218,0.869,4.434,315.313,10.855,19.325,0.232,1,1
infra.cache.module_10,148,135,13,15.821,16.046,4.062,5.655,0.748,42.599,313.289,4.992,21.303,0.459,1,1
core.db.module_09,478,418,60,8.635,9.538,13.088,9.735,0.325,15.733,306.193,12.521,51.476,0.367,1,1
core.payment.module_34,406,323,83,22.809,27.151,8.707,8.09,0.435,9.695,305.355,14.495,53.665,0.099,1,1
core.db.module_18,292,268,24,30.094,34.964,5.28,8.325,0.607,12.083,302.081,5.781,10.663,0.347,1,1
infra.cache.module_29,90,80,10,14.415,15.032,8.554,4.551,0.77,26.646,301.894,11.957,15.577,0.6,2,1
workers.notifications.module_09,211,193,18,15.594,14.309,6.193,7.386,0.725,47.789,294.322,9.201,19.556,0.658,1,1
core.payment.module_06,337,307,30,29.755,34.37,2.995,10.636,0.711,44.362,292.147,23.559,6.096,0.414,1,1
services.billing.module_31,249,233,16,32.348,37.373,5.536,7.771,0.785,31.17,290.044,4.983,21.066,0.153,1,1
core.payment.module_10,159,142,17,22.086,26.31,9.091,19.279,0.701,23.822,288.735,9.979,27.915,0.25,1,1
services.billing.module_16,247,207,40,33.569,37.067,11.364,10.692,0.831,12.854,288.136,6.917,16.055,0.617,1,1
reports.export.module_32,170,133,37,19.456,19.564,6.785,6.832,0.702,13.475,287.104,6.972,32.515,0.355,1,1
core.payment.module_23,269,219,50,26.735,31.985,9.16,20.93,0.611,47.365,285.949,16.23,26.496,0.283,2,1
core.db.module_34,182,148,34,17.041,18.559,9.905,8.452,0.692,25.317,282.528,2.161,8.289,0.237,1,1
workers.notifications.module_23,259,241,18,12.825,14.817,13.461,16.726,0.54,16.247,281.46,9.166,13.236,0.12,1,1
reports.export.module_34,182,143,39,29.574,31.005,5.622,11.017,0.435,12.828,281.347,17.049,35.014,0.397,2,1
workers.notifications.module_15,128,119,9,20.322,21.842,14.649,5.171,0.723,7.588,280.842,15.605,41.138,0.483,1,1
ui.components.module_14,202,188,14,23.978,21.599,11.147,3.509,0.587,2.459,279.973,17.605,10.122,0.061,1,1
gateway.api.module_29,385,366,19,21.496,20.038,16.111,24.466,0.61,13.634,277.941,10.48,50.979,0.247,1,1
services.billing.module_10,143,113,30,6.26,7.37,6.878,10.873,0.553,29.282,275.746,9.149,17.989,0.172,1,1
gateway.api.module_28,305,288,17,15.922,16.32,11.268,22.688,0.343,27.895,273.828,15.567,13.201,0.468,1,1
core.auth.module_31,285,245,40,23.25,22.099,16.33,12.776,0.808,14.27,273.777,11.292,49.14,0.119,1,1
core.auth.module_33,230,196,34,19.03,18.562,8.436,14.799,0.387,45.239,270.874,20.526,37.92,0.196,1,1
reports.export.module_08,259,228,31,22.748,24.618,6.603,8.047,0.871,5.465,270.389,8.307,23.964,0.279,1,1
reports.export.module_04,118,98,20,16.669,15.338,2.825,3.085,0.554,27.402,270.296,4.02,35.703,0.384,1,1
services.billing.module_13,236,204,32,18.703,19.991,7.287,8.531,0.401,3.184,269.764,8.988,16.37,0.478,1,1
utils.formatters.module_35,235,205,30,5.086,4.691,12.115,9.916,0.376,34.377,269.463,17.032,13.102,0.301,1,1
workers.notifications.module_07,234,212,22,15.756,14.683,3.31,20.482,0.735,13.325,269.302,21.531,41.796,0.295,1,1
core.auth.module_25,132,115,17,36.295,39.79,7.544,18.801,0.555,22.533,268.257,20.437,36.518,0.206,1,1
